X1,X2,Y
2.67,2.33,3
0.67,2,3.33
0,1,4
1.33,2.33,3
0.67,2,3.67
2.67,2.67,2.33
1.67,1.67,3.67
2,2.67,3.33
3,2.33,3.67
1.33,2.33,3
1.33,2.33,3
2.33,2,3
1.33,2,3
0.67,1.33,4
1,3,2
1,2.33,2.67
0.33,1.33,4
1.33,2.67,3
1.67,2.67,3
1,3,3.33
1.67,2,3.67
2,3,2.67
2.67,3,1.67
2,2.67,3
1,2.33,3.33
2.33,3,2.67
2,3.33,1.33
0.67,2.33,2.67
1.33,2.33,3
1.67,2.67,2.67
1.67,2.33,3
3,2.67,2.33
1.33,2.33,3
1,2.33,3
1.67,2.33,3
0.67,1.67,3.67
1.67,2,3.67
0.67,2.67,2.33
1.33,1.67,3.33
1.67,2.33,3.33
2,2,3
1.33,2.67,3
0.33,1.67,3.67
2,2.33,2
1.67,2,3.33
1,2,3.67
1,1.33,4
1.33,1.33,4
1,1,3.67
3,2.67,2.67
1,2.33,3
0.33,1.67,3
0.67,1,4.33
1,1.67,4.33
0,1,4.33
0.67,2,3
0,1.67,3.67
1.33,2.67,2.33
2.67,3,2.67
0.67,2.33,2.33
1.67,2,3.33
0.33,1.33,3.67
2.67,3.33,2.33
3,2.67,2.33
0.67,1.67,3.67
2.67,3,2
0.67,1.33,3.67
0.67,1.33,4
0.33,2.67,3.33
1,2.67,2.67
0.67,1,4
2,2,2.67
1.33,1.33,4
0.33,1.33,3.33
1.33,2,3
0,1,5
2,2,3.33
1,1.67,3
2.33,1,5
0.67,1,4.33
1.33,2.33,2.67
2,2,3.67
2,2,3
1.67,1,4
1.33,2,3.67
2,2.67,3
1,1.67,3
1,2,3
2,2.33,2.67
2,2.67,2.67
1.33,2.33,3.33
2,3,2
0.33,1.33,3.33
0.67,2.67,3.33
0.67,2,3.33
1.67,2.67,2.33
1,3,2
0,1,3.67
1.67,2,3
1.67,2.67,2.67
2,2,3
3,2,3
0.67,1.67,3.67
1,2.33,2.67
2.33,2.67,2.67
0.67,1,4.33
2.67,2.33,3
1.67,2.67,2.33
1.67,2.33,3
1.33,2,3
1,1.33,3.33
1.67,3,3.33
1.67,3,3
1,2,3
0,1.33,4.33
1.67,1.67,3
1,2,3
2,2.67,2.67
0.67,1,4.67
0.67,3.67,2
1,1,5
1,2.67,2.67
2.33,2.67,2.67
2.67,2.67,1.67
0.33,2.33,3
0.67,1.67,3.33
3,3,2
3,2.67,3
0.67,1,3.67
3,1.33,3.67
1.33,1.33,3.67
2,2.33,3
2,2.33,3
0.33,2.33,4
1,1.33,3.33
3,3.33,2.67
0.33,1,4
1.33,2.33,3
1.33,3,2.33
1.33,2,3
0.67,1.33,4.33
1.33,1.67,4
3,2.67,1.67
1,2.67,3
1,1.33,3.67
1.67,2.33,3
1.33,2.67,3
0,1,4
0.33,2,3
1.67,2.33,3.33
0.67,1,4
1.67,1.33,4
0.67,2,2.67
1,2,3.33
2.67,4,2
0.67,1.67,4
0.67,1.33,4
0.67,1.33,4
2,2,4.33
1,2.33,3
2.67,2,2.67
2.67,2.33,2.67
1.33,2.33,3.33
2,2.67,2
2,2.67,2.33
1,2,3
0.33,1.67,3
2.67,2.33,3
0.67,2,3.33
3,3.33,2
1.33,2,3
1,1,4
2,2.67,2.33
1.33,2,3.67
0.67,1.33,3.67
0.33,1.33,4
0.33,2.33,2.67
0,1,4.33
1.67,3,3
2.33,2.33,3
1.67,1.33,4
1,1.33,4
3,3,2
2,4,2
0.33,1.67,4
2,2.33,3.33
0.33,2,3
2.67,2,3.33
1.67,2.33,3
1,1.67,3
3,2.67,2.33
2,2.33,3
2,3.33,2.67
1.67,2.33,4
2.33,3,2.33
1.67,1.67,4
2.33,3.33,1.67
2,3,3
1.33,2,3
1.67,2,3.33
2.33,2.67,3
0.33,1.67,3
3,1,5
0.67,2,3
1,1.33,3.67
0.67,1,4
1.33,2,3
0.33,1.33,3.67
3,3.67,3
1.67,1.33,4
0.33,1,4.67
2,2,3
0,1,4.33
1,1.67,2.67
0,1,4.33
1.67,2,3.67
0.33,1,4.67
1,1.67,3.33
1,2,3.67
